"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 11 13:21:20 GMT 2024","Wed Sep 11 13:21:20 GMT 2024","783","Mobile Chrome","example.spec.js","","","","get started link",""
"passed","Wed Sep 11 13:21:11 GMT 2024","Wed Sep 11 13:21:12 GMT 2024","895","firefox","example.spec.js","","","","get started link",""
"passed","Wed Sep 11 13:21:16 GMT 2024","Wed Sep 11 13:21:18 GMT 2024","1363","webkit","example.spec.js","","","","get started link",""
"passed","Wed Sep 11 13:21:15 GMT 2024","Wed Sep 11 13:21:16 GMT 2024","1011","webkit","example.spec.js","","","","has title",""
"passed","Wed Sep 11 13:21:21 GMT 2024","Wed Sep 11 13:21:22 GMT 2024","1043","Mobile Safari","demo..spec.js","","","","has title",""
"passed","Wed Sep 11 13:21:13 GMT 2024","Wed Sep 11 13:21:15 GMT 2024","2347","webkit","demo..spec.js","","","","has title",""
"passed","Wed Sep 11 13:21:05 GMT 2024","Wed Sep 11 13:21:07 GMT 2024","1303","chromium","demo..spec.js","","","","has title",""
"passed","Wed Sep 11 13:21:07 GMT 2024","Wed Sep 11 13:21:08 GMT 2024","804","chromium","example.spec.js","","","","get started link",""
"passed","Wed Sep 11 13:21:22 GMT 2024","Wed Sep 11 13:21:23 GMT 2024","824","Mobile Safari","example.spec.js","","","","has title",""
"passed","Wed Sep 11 13:21:08 GMT 2024","Wed Sep 11 13:21:11 GMT 2024","2165","firefox","demo..spec.js","","","","has title",""
"passed","Wed Sep 11 13:21:11 GMT 2024","Wed Sep 11 13:21:11 GMT 2024","536","firefox","example.spec.js","","","","has title",""
"passed","Wed Sep 11 13:21:07 GMT 2024","Wed Sep 11 13:21:07 GMT 2024","473","chromium","example.spec.js","","","","has title",""
"passed","Wed Sep 11 13:21:23 GMT 2024","Wed Sep 11 13:21:24 GMT 2024","1059","Mobile Safari","example.spec.js","","","","get started link",""
"passed","Wed Sep 11 13:21:19 GMT 2024","Wed Sep 11 13:21:20 GMT 2024","492","Mobile Chrome","example.spec.js","","","","has title",""
"passed","Wed Sep 11 13:21:18 GMT 2024","Wed Sep 11 13:21:19 GMT 2024","861","Mobile Chrome","demo..spec.js","","","","has title",""
