"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 23 16:06:27 GMT 2024","Sun Jun 23 16:06:28 GMT 2024","674","Mobile Chrome","example.spec.js","","","","get started link",""
"passed","Sun Jun 23 16:06:24 GMT 2024","Sun Jun 23 16:06:24 GMT 2024","788","webkit","example.spec.js","","","","has title",""
"passed","Sun Jun 23 16:06:30 GMT 2024","Sun Jun 23 16:06:31 GMT 2024","1122","Mobile Safari","example.spec.js","","","","get started link",""
"passed","Sun Jun 23 16:06:16 GMT 2024","Sun Jun 23 16:06:16 GMT 2024","924","chromium","demo..spec.js","","","","has title",""
"passed","Sun Jun 23 16:06:17 GMT 2024","Sun Jun 23 16:06:18 GMT 2024","644","chromium","example.spec.js","","","","get started link",""
"passed","Sun Jun 23 16:06:26 GMT 2024","Sun Jun 23 16:06:27 GMT 2024","772","Mobile Chrome","demo..spec.js","","","","has title",""
"passed","Sun Jun 23 16:06:24 GMT 2024","Sun Jun 23 16:06:26 GMT 2024","1296","webkit","example.spec.js","","","","get started link",""
"passed","Sun Jun 23 16:06:16 GMT 2024","Sun Jun 23 16:06:17 GMT 2024","467","chromium","example.spec.js","","","","has title",""
"passed","Sun Jun 23 16:06:22 GMT 2024","Sun Jun 23 16:06:24 GMT 2024","1752","webkit","demo..spec.js","","","","has title",""
"passed","Sun Jun 23 16:06:28 GMT 2024","Sun Jun 23 16:06:29 GMT 2024","964","Mobile Safari","demo..spec.js","","","","has title",""
"passed","Sun Jun 23 16:06:27 GMT 2024","Sun Jun 23 16:06:27 GMT 2024","487","Mobile Chrome","example.spec.js","","","","has title",""
"passed","Sun Jun 23 16:06:20 GMT 2024","Sun Jun 23 16:06:20 GMT 2024","568","firefox","example.spec.js","","","","has title",""
"passed","Sun Jun 23 16:06:20 GMT 2024","Sun Jun 23 16:06:21 GMT 2024","771","firefox","example.spec.js","","","","get started link",""
"passed","Sun Jun 23 16:06:18 GMT 2024","Sun Jun 23 16:06:20 GMT 2024","1509","firefox","demo..spec.js","","","","has title",""
"passed","Sun Jun 23 16:06:29 GMT 2024","Sun Jun 23 16:06:30 GMT 2024","788","Mobile Safari","example.spec.js","","","","has title",""
