"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 18 17:53:33 GMT 2024","Wed Sep 18 17:53:34 GMT 2024","769","Mobile Chrome","example.spec.js","","","","get started link",""
"passed","Wed Sep 18 17:53:14 GMT 2024","Wed Sep 18 17:53:15 GMT 2024","729","chromium","example.spec.js","","","","get started link",""
"passed","Wed Sep 18 17:53:19 GMT 2024","Wed Sep 18 17:53:20 GMT 2024","1611","firefox","example.spec.js","","","","has title",""
"passed","Wed Sep 18 17:53:27 GMT 2024","Wed Sep 18 17:53:29 GMT 2024","1135","webkit","example.spec.js","","","","has title",""
"failed","Wed Sep 18 17:53:12 GMT 2024","Wed Sep 18 17:53:13 GMT 2024","1657","chromium","demo..spec.js","","","","has title",""
"failed","Wed Sep 18 17:53:15 GMT 2024","Wed Sep 18 17:53:18 GMT 2024","2687","firefox","demo..spec.js","","","","has title",""
"passed","Wed Sep 18 17:53:32 GMT 2024","Wed Sep 18 17:53:33 GMT 2024","866","Mobile Chrome","example.spec.js","","","","has title",""
"passed","Wed Sep 18 17:53:36 GMT 2024","Wed Sep 18 17:53:37 GMT 2024","947","Mobile Safari","example.spec.js","","","","has title",""
"passed","Wed Sep 18 17:53:29 GMT 2024","Wed Sep 18 17:53:30 GMT 2024","1384","webkit","example.spec.js","","","","get started link",""
"passed","Wed Sep 18 17:53:37 GMT 2024","Wed Sep 18 17:53:38 GMT 2024","1163","Mobile Safari","example.spec.js","","","","get started link",""
"failed","Wed Sep 18 17:53:22 GMT 2024","Wed Sep 18 17:53:27 GMT 2024","4943","webkit","demo..spec.js","","","","has title",""
"failed","Wed Sep 18 17:53:34 GMT 2024","Wed Sep 18 17:53:36 GMT 2024","1546","Mobile Safari","demo..spec.js","","","","has title",""
"passed","Wed Sep 18 17:53:14 GMT 2024","Wed Sep 18 17:53:14 GMT 2024","622","chromium","example.spec.js","","","","has title",""
"passed","Wed Sep 18 17:53:20 GMT 2024","Wed Sep 18 17:53:21 GMT 2024","931","firefox","example.spec.js","","","","get started link",""
"failed","Wed Sep 18 17:53:30 GMT 2024","Wed Sep 18 17:53:32 GMT 2024","1294","Mobile Chrome","demo..spec.js","","","","has title",""
