"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 18 18:07:55 GMT 2024","Wed Sep 18 18:07:56 GMT 2024","918","firefox","example.spec.js","","","","get started link",""
"passed","Wed Sep 18 18:07:49 GMT 2024","Wed Sep 18 18:07:49 GMT 2024","623","chromium","example.spec.js","","","","has title",""
"passed","Wed Sep 18 18:08:05 GMT 2024","Wed Sep 18 18:08:06 GMT 2024","745","Mobile Chrome","example.spec.js","","","","get started link",""
"passed","Wed Sep 18 18:08:01 GMT 2024","Wed Sep 18 18:08:02 GMT 2024","1341","webkit","example.spec.js","","","","get started link",""
"failed","Wed Sep 18 18:08:06 GMT 2024","Wed Sep 18 18:08:08 GMT 2024","1344","Mobile Safari","demo..spec.js","","","","has title",""
"passed","Wed Sep 18 18:07:49 GMT 2024","Wed Sep 18 18:07:50 GMT 2024","797","chromium","example.spec.js","","","","get started link",""
"failed","Wed Sep 18 18:07:57 GMT 2024","Wed Sep 18 18:07:59 GMT 2024","2144","webkit","demo..spec.js","","","","has title",""
"passed","Wed Sep 18 18:08:00 GMT 2024","Wed Sep 18 18:08:01 GMT 2024","1126","webkit","example.spec.js","","","","has title",""
"passed","Wed Sep 18 18:08:08 GMT 2024","Wed Sep 18 18:08:09 GMT 2024","994","Mobile Safari","example.spec.js","","","","has title",""
"failed","Wed Sep 18 18:08:02 GMT 2024","Wed Sep 18 18:08:04 GMT 2024","1460","Mobile Chrome","demo..spec.js","","","","has title",""
"passed","Wed Sep 18 18:07:54 GMT 2024","Wed Sep 18 18:07:55 GMT 2024","1616","firefox","example.spec.js","","","","has title",""
"failed","Wed Sep 18 18:07:47 GMT 2024","Wed Sep 18 18:07:48 GMT 2024","1692","chromium","demo..spec.js","","","","has title",""
"failed","Wed Sep 18 18:07:50 GMT 2024","Wed Sep 18 18:07:53 GMT 2024","2696","firefox","demo..spec.js","","","","has title",""
"passed","Wed Sep 18 18:08:04 GMT 2024","Wed Sep 18 18:08:05 GMT 2024","676","Mobile Chrome","example.spec.js","","","","has title",""
"passed","Wed Sep 18 18:08:09 GMT 2024","Wed Sep 18 18:08:10 GMT 2024","1122","Mobile Safari","example.spec.js","","","","get started link",""
