"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 11 13:18:15 GMT 2024","Wed Sep 11 13:18:16 GMT 2024","913","webkit","example.spec.js","","","","has title",""
"passed","Wed Sep 11 13:18:26 GMT 2024","Wed Sep 11 13:18:27 GMT 2024","1113","Mobile Safari","demo..spec.js","","","","has title",""
"failed","Wed Sep 11 13:18:24 GMT 2024","Wed Sep 11 13:18:25 GMT 2024","714","Mobile Chrome","example.spec.js","","","","get started link",""
"passed","Wed Sep 11 13:17:59 GMT 2024","Wed Sep 11 13:18:00 GMT 2024","451","chromium","example.spec.js","","","","has title",""
"failed","Wed Sep 11 13:18:19 GMT 2024","Wed Sep 11 13:18:20 GMT 2024","1003","webkit","example.spec.js","","","","get started link",""
"passed","Wed Sep 11 13:18:20 GMT 2024","Wed Sep 11 13:18:22 GMT 2024","1169","Mobile Chrome","demo..spec.js","","","","has title",""
"passed","Wed Sep 11 13:18:03 GMT 2024","Wed Sep 11 13:18:05 GMT 2024","1900","firefox","demo..spec.js","","","","has title",""
"passed","Wed Sep 11 13:18:27 GMT 2024","Wed Sep 11 13:18:28 GMT 2024","867","Mobile Safari","example.spec.js","","","","has title",""
"passed","Wed Sep 11 13:18:13 GMT 2024","Wed Sep 11 13:18:15 GMT 2024","2014","webkit","demo..spec.js","","","","has title",""
"passed","Wed Sep 11 13:18:05 GMT 2024","Wed Sep 11 13:18:06 GMT 2024","615","firefox","example.spec.js","","","","has title",""
"passed","Wed Sep 11 13:17:58 GMT 2024","Wed Sep 11 13:17:59 GMT 2024","1380","chromium","demo..spec.js","","","","has title",""
"failed","Wed Sep 11 13:18:10 GMT 2024","Wed Sep 11 13:18:12 GMT 2024","2101","firefox","example.spec.js","","","","get started link",""
"failed","Wed Sep 11 13:18:30 GMT 2024","Wed Sep 11 13:18:31 GMT 2024","836","Mobile Safari","example.spec.js","","","","get started link",""
"passed","Wed Sep 11 13:18:22 GMT 2024","Wed Sep 11 13:18:22 GMT 2024","519","Mobile Chrome","example.spec.js","","","","has title",""
"failed","Wed Sep 11 13:18:02 GMT 2024","Wed Sep 11 13:18:03 GMT 2024","708","chromium","example.spec.js","","","","get started link",""
